Topic,Group ID,Documents,Words
Topic 16, CVC-UNCC-08-34,3.477336363166681E-5,2.0864018179000087E-4
Topic 16, CVC-UNCC-08-35,1.4137953580414106E-6,0.004142420399061333
Topic 16, CVC-UNCC-08-36,3.5450069930091355E-5,0.07632400055948668
Topic 16, CVC-UNCC-08-37,-1.1396995021488234E-6,-0.0032504229801284443
Topic 16, CVC-UNCC-08-38,3.7288031209907156E-5,0.09866413058141434
Topic 16, CVC-UNCC-09-01,3.159438560771322E-5,0.08163989241033097
Topic 16, CVC-UNCC-09-02,3.223364276880908E-5,0.08151888256231817
Topic 16, CVC-UNCC-09-03,3.5503497086934494E-6,0.009486534421628896
Topic 16, CVC-UNCC-09-05,0.006268389046717132,16.510936749052927
Topic 16, CVC-UNCC-09-06,-1.8419145933385693E-7,-3.9527487173045695E-4
Topic 16, CVC-UNCC-09-07,3.106985982241073E-4,0.782028371730078
Topic 16, CVC-UNCC-09-08,9.270979016585498E-4,2.429923600247059
Topic 16, CVC-UNCC-09-09,1.9150879078613056E-5,0.03661648079830816
Topic 16, CVC-UNCC-09-10,0.0023374817611085752,6.012003089571255
Topic 16, CVC-UNCC-09-11,0.0015966530186354532,4.183230908824887
Topic 16, CVC-UNCC-09-12,5.1196532676099775E-6,0.013311098495785942
Topic 16, CVC-UNCC-09-13,0.021224208037276995,51.74461919488132
Topic 16, CVC-UNCC-09-14,-7.559550137739905E-7,-0.0020078165165837185
Topic 16, CVC-UNCC-09-15,6.811422482395784E-5,0.18438520659845387
Topic 16, CVC-UNCC-09-16,-1.031811468427941E-5,-0.0251555636002732
Topic 16, CVC-UNCC-09-17,1.2368029106391064E-5,0.032738173044617146
Topic 16, CVC-UNCC-09-18,1.2576403973647571E-5,0.035767292901053696
Topic 16, CVC-UNCC-09-19,2.8849162787852877E-5,0.07160362203945084
Topic 16, CVC-UNCC-09-20,7.224833792088711E-7,0.0018473900006370835
Topic 16, CVC-UNCC-09-21,6.565960924263092E-5,0.08936272817922068
Topic 16, CVC-UNCC-09-22,0.04412139042886281,114.1420370394681
Topic 16, CVC-UNCC-09-23,0.20270981297981716,7.500263080253235
Topic 16, CVC-UNCC-09-24,9.186145431961503E-7,0.0024820964957159982
Topic 16, CVC-UNCC-09-25,3.80571345781552E-4,0.011797711719228112
Topic 16, CVC-UNCC-09-26,0.014030517441507802,38.89259434785963
Topic 16, CVC-UNCC-09-27,1.1336776335063166E-5,0.032309812554930026
Topic 16, CVC-UNCC-09-28,5.223083298575502E-6,0.006539300289816529
Topic 16, CVC-UNCC-09-29,0.004218855953381138,6.838765500430824
Topic 16, CVC-UNCC-10-01_0,8.557936097724706E-7,0.0020376445848682523
Topic 16, CVC-UNCC-10-02,5.596669436467964E-5,0.048355223931083206
Topic 16, CVC-UNCC-10-03,5.05562560152654E-6,0.013144626563969003
Topic 16, CVC-UNCC-10-04,1.1930829488990201E-5,0.031747937270202926
Topic 16, CVC-UNCC-10-05,0.004903645675607261,13.323205300624927
Topic 16, CVC-UNCC-10-06,0.002064329520097949,5.204174720166929
Topic 16, CVC-UNCC-10-07,-2.9645882890028584E-7,-8.704031216512392E-4
Topic 16, CVC-UNCC-10-08,1.0570459322094437E-5,0.02711322816117223
Topic 16, CVC-UNCC-10-09,-7.442569906417214E-6,-0.009385080651992107
Topic 16, CVC-UNCC-10-10,0.08365762017984481,168.9883927632865
Topic 16, CVC-UNCC-10-11,2.2566650658088843E-7,5.571706047482136E-4
Topic 16, CVC-UNCC-10-12,6.644621504625618E-4,1.8379023081794459
Topic 16, CVC-UNCC-10-13,2.2245752316540087E-5,0.04818429951762583
Topic 16, CVC-UNCC-10-14,1.2445545208088144E-5,0.03487241767306298
Topic 16, CVC-UNCC-10-15,9.361076980530937E-6,0.022138947058955666
Topic 16, CVC-UNCC-10-16,2.732400838273789E-4,0.7273651031484827
Topic 16, CVC-UNCC-10-17,-1.276820590498789E-6,-0.0034167719001747597
Topic 16, CVC-UNCC-10-18,0.023325221729443183,58.12645254977241
Topic 16, CVC-UNCC-10-19,1.0513479048216269E-5,0.026557048075794294
Topic 16, CVC-UNCC-10-20,0.0012064053999556775,3.001536635089726
Topic 16, CVC-UNCC-10-21,1.3383963502083453E-5,0.03639099676216491
Topic 16, CVC-UNCC-10-22,1.0841208200226762E-4,0.30181923629431306
Topic 16, CVC-UNCC-10-23,4.625290180265179E-6,0.013182077013755759
Topic 16, CVC-UNCC-10-25,0.00643389708538989,16.92114933457541
Topic 16, CVC-UNCC-10-26,0.6849913851103429,1930.9907146260566
Topic 16, CVC-UNCC-10-27,0.04257034331907107,39.50527860009795
Topic 16, CVC-UNCC-10-28,1.466182357241932E-6,0.001807802846479302
Topic 16, CVC-UNCC-10-29,1.4416569509138747E-5,0.02266284726836611
Topic 16, CVC-UNCC-10-30,0.006818918936701637,19.29754059086563
Topic 16, CVC-UNCC-11-01,0.0012312612591379392,3.3280991834498495
Topic 16, CVC-UNCC-11-02,1.4047155270932555E-6,0.0036143330512109465
Topic 16, CVC-UNCC-11-03,1.0513479048216269E-5,0.026557048075794294
Topic 16, CVC-UNCC-11-04,6.766578145921587E-6,0.016828479848906987
Topic 16, CVC-UNCC-11-05,3.164076430723706E-5,0.04983420378389838
Topic 16, CVC-UNCC-11-06,2.784796298164617E-6,0.007137432912195913
Topic 16, CVC-UNCC-11-07,7.817787222803668E-6,0.020263704481507105
Topic 16, CVC-UNCC-11-08,1.534492305909441E-4,0.3779454549454953
Topic 16, CVC-UNCC-11-09,6.935155875010541E-6,0.01897458647402884
Topic 16, CVC-UNCC-11-10,1.067971032846634E-5,0.03029833820185901
Topic 16, CVC-UNCC-11-11,2.0181605046909725E-4,0.1816344454221875
Topic 16, CVC-UNCC-11-12_0,1.0875637999847315E-6,0.0029418600789586987
